label,R,G,B,C,C-R,C-G,C-B,R-G,R-B,G-B
yellow,1581,2222,1191,5217,3636,2995,4026,-641,390,1031
yellow,1581,2222,1191,5217,3636,2995,4026,-641,390,1031
yellow,1581,2222,1191,5217,3636,2995,4026,-641,390,1031
yellow,1581,2222,1191,5217,3636,2995,4026,-641,390,1031
yellow,1581,2222,1191,5217,3636,2995,4026,-641,390,1031
yellow,1581,2222,1191,5217,3636,2995,4026,-641,390,1031
yellow,1581,2222,1191,5217,3636,2995,4026,-641,390,1031
yellow,1581,2222,1191,5217,3636,2995,4026,-641,390,1031
yellow,1581,2222,1191,5217,3636,2995,4026,-641,390,1031
yellow,1581,2222,1191,5217,3636,2995,4026,-641,390,1031
yellow,1581,2222,1191,5217,3636,2995,4026,-641,390,1031
yellow,1581,2222,1191,5217,3636,2995,4026,-641,390,1031
yellow,1581,2222,1191,5217,3636,2995,4026,-641,390,1031
yellow,1581,2222,1191,5217,3636,2995,4026,-641,390,1031
yellow,1581,2222,1191,5217,3636,2995,4026,-641,390,1031
yellow,1581,2222,1191,5217,3636,2995,4026,-641,390,1031
yellow,1581,2222,1191,5217,3636,2995,4026,-641,390,1031
yellow,1581,2222,1191,5217,3636,2995,4026,-641,390,1031
yellow,1581,2222,1191,5217,3636,2995,4026,-641,390,1031
yellow,1581,2222,1191,5217,3636,2995,4026,-641,390,1031
yellow,1581,2222,1191,5217,3636,2995,4026,-641,390,1031
yellow,1581,2222,1191,5217,3636,2995,4026,-641,390,1031
yellow,1581,2222,1191,5217,3636,2995,4026,-641,390,1031
yellow,1581,2222,1191,5217,3636,2995,4026,-641,390,1031
yellow,1581,2222,1191,5217,3636,2995,4026,-641,390,1031
yellow,1581,2222,1191,5217,3636,2995,4026,-641,390,1031
yellow,1732,2515,1355,5884,4152,3369,4529,-783,377,1160
yellow,1732,2515,1355,5884,4152,3369,4529,-783,377,1160
yellow,1732,2515,1355,5884,4152,3369,4529,-783,377,1160
yellow,1732,2515,1355,5884,4152,3369,4529,-783,377,1160
yellow,1732,2515,1355,5884,4152,3369,4529,-783,377,1160
yellow,1732,2515,1355,5884,4152,3369,4529,-783,377,1160
yellow,1732,2515,1355,5884,4152,3369,4529,-783,377,1160
yellow,1732,2515,1355,5884,4152,3369,4529,-783,377,1160
yellow,1732,2515,1355,5884,4152,3369,4529,-783,377,1160
yellow,1732,2515,1355,5884,4152,3369,4529,-783,377,1160
yellow,1787,2624,1376,6095,4308,3471,4719,-837,411,1248
yellow,1787,2624,1376,6095,4308,3471,4719,-837,411,1248
yellow,1787,2624,1376,6095,4308,3471,4719,-837,411,1248
yellow,1787,2624,1376,6095,4308,3471,4719,-837,411,1248
yellow,1787,2624,1376,6095,4308,3471,4719,-837,411,1248
yellow,1787,2624,1376,6095,4308,3471,4719,-837,411,1248
yellow,1787,2624,1376,6095,4308,3471,4719,-837,411,1248
yellow,1787,2624,1376,6095,4308,3471,4719,-837,411,1248
yellow,1787,2624,1376,6095,4308,3471,4719,-837,411,1248
yellow,1787,2624,1376,6095,4308,3471,4719,-837,411,1248
yellow,1732,2624,1376,6095,4363,3471,4719,-892,356,1248
yellow,1732,2624,1376,6095,4363,3471,4719,-892,356,1248
yellow,1732,2624,1376,6095,4363,3471,4719,-892,356,1248
